,Publish_time,Video_title,View,Like,Comment,Video_ID
235,2021-09-26,SOUTHAMPTON - WOLVES,412086,3189,144,7vGlM-WjNNA
236,2021-09-25,BRENTFORD - LIVERPOOL ,1616993,14263,1599,kIkaPHez-aI
237,2021-09-25,WATFORD - NEWCASTLE ,191593,1321,118,1AyNCu5CCnU
238,2021-09-25,EVERTON - NORWICH ,362592,2508,148,07bm9SCMu20
239,2021-09-25,LEEDS - WESTHAM ,1117062,5074,370,zRB9K8PWOb8
240,2021-09-25,LEICESTER CITY - BURNLEY ,523392,4043,390,7E2uAtrAwWU
241,2021-09-25,CHELSEA - MAN CITY,2130471,19767,2805,MEHB4tkWf9M
242,2021-09-25,MANCHESTER UNITED - ASTON VILLA ,2206294,19584,7086,zEGl8XFriII
243,2021-09-19,TOTTENHAM - CHELSEA,2627179,24457,3174,seTl5bI7A_I
244,2021-09-19,WEST HAM - MANCHESTER UNITED ,3756120,40427,4291,frX0hwAVTk0
245,2021-09-19,BRIGHTON - LEICESTER ,624072,4303,483,47BFmq2jP_s
246,2021-09-18,ASTON VILLA - EVERTON ,901681,6147,333,QMSjkeACwNQ
247,2021-09-18,NORWICH CITY - WATFORD ,186743,1228,87,izAuw7qz0DU
248,2021-09-18,BURNLEY - ARSENAL ,775665,6722,913,JvldtvraiG0
249,2021-09-18,MAN CITY - SOUTHAMPTON ,1037768,7219,783,UTmsuVyoAvc
250,2021-09-18,LIVERPOOL - CRYSTAL PALACE ,1263219,10991,1106,oLpjC3QT-Z0
251,2021-09-17,NEWCASTLE - LEEDS UNITED ,806318,7374,781,FMNp2AeWjwc
252,2021-09-14,MOHAMED SALAH VÀ NGÔI ĐỀN 100 ,67287,1057,181,EPxNX44mH_Y
253,2021-09-13,RONALDO TÁI XUẤT HOÀN HẢO - LUKAKU THI ĐẤU BÙNG NỔ - SALAH LẬP KỲ TÍCH ,97603,909,94,1qbPBDhOFuc
254,2021-09-12,LEEDS UNITED - LIVERPOOL ,1555651,13657,1595,MzM9OmF1P2M
